StageId,StageType,BGM,EnemyIds,HPRate,AtkRate,DefRate,RewardRate,InitCount,AddCount,BossEnemyId,RewardType,BossRewardAmount,BossStatRate
14,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.65,1.65,1.65,1.65,40,20,Skeleton_Archer,EnhanceStone,100,16.5
15,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.7,1.7,1.7,1.7,40,20,Skeleton_Warrior,SkillGem,100,17
16,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.75,1.75,1.75,1.75,40,20,Skeleton_Shield,Diamond,1000,17.5
17,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.8,1.8,1.8,1.8,40,20,Skeleton_Knight,EnhanceStone,100,18
18,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.85,1.85,1.85,1.85,40,20,Skeleton_Archer,SkillGem,100,18.5
19,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.9,1.9,1.9,1.9,40,20,Skeleton_Warrior,Diamond,1000,19
20,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.95,1.95,1.95,1.95,40,20,Skeleton_Shield,EnhanceStone,100,19.5
21,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2,2,2,2,40,20,Skeleton_Knight,SkillGem,100,20
22,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.05,2.05,2.05,2.05,40,20,Skeleton_Archer,Diamond,1000,20.5
23,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.1,2.1,2.1,2.1,40,20,Skeleton_Warrior,EnhanceStone,100,21
24,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.15,2.15,2.15,2.15,40,20,Skeleton_Shield,SkillGem,100,21.5
25,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.2,2.2,2.2,2.2,40,20,Skeleton_Knight,Diamond,1000,22
26,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.25,2.25,2.25,2.25,40,20,Skeleton_Archer,EnhanceStone,100,22.5
27,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.3,2.3,2.3,2.3,40,20,Skeleton_Warrior,SkillGem,100,23
28,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.35,2.35,2.35,2.35,40,20,Skeleton_Shield,Diamond,1000,23.5
29,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.4,2.4,2.4,2.4,40,20,Skeleton_Knight,EnhanceStone,100,24
30,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.45,2.45,2.45,2.45,40,20,Skeleton_Archer,SkillGem,100,24.5
31,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.5,2.5,2.5,2.5,40,20,Skeleton_Warrior,Diamond,1000,25
32,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.55,2.55,2.55,2.55,40,20,Skeleton_Shield,EnhanceStone,100,25.5
33,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.6,2.6,2.6,2.6,40,20,Skeleton_Knight,SkillGem,100,26
34,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.65,2.65,2.65,2.65,40,20,Skeleton_Archer,Diamond,1000,26.5
35,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.7,2.7,2.7,2.7,40,20,Skeleton_Warrior,EnhanceStone,100,27
36,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.75,2.75,2.75,2.75,40,20,Skeleton_Shield,SkillGem,100,27.5
37,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.8,2.8,2.8,2.8,40,20,Skeleton_Knight,Diamond,1000,28
38,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.85,2.85,2.85,2.85,40,20,Skeleton_Archer,EnhanceStone,100,28.5
39,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.9,2.9,2.9,2.9,40,20,Skeleton_Warrior,SkillGem,100,29
40,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,2.95,2.95,2.95,2.95,40,20,Skeleton_Shield,Diamond,1000,29.5
41,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3,3,3,3,40,20,Skeleton_Knight,EnhanceStone,100,30
42,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.05,3.05,3.05,3.05,40,20,Skeleton_Archer,SkillGem,100,30.5
43,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.1,3.1,3.1,3.1,40,20,Skeleton_Warrior,Diamond,1000,31
44,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.15,3.15,3.15,3.15,40,20,Skeleton_Shield,EnhanceStone,100,31.5
45,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.2,3.2,3.2,3.2,40,20,Skeleton_Knight,SkillGem,100,32
46,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.25,3.25,3.25,3.25,40,20,Skeleton_Archer,Diamond,1000,32.5
47,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.3,3.3,3.3,3.3,40,20,Skeleton_Warrior,EnhanceStone,100,33
48,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.35,3.35,3.35,3.35,40,20,Skeleton_Shield,SkillGem,100,33.5
49,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.4,3.4,3.4,3.4,40,20,Skeleton_Knight,Diamond,1000,34
50,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.45,3.45,3.45,3.45,40,20,Skeleton_Archer,EnhanceStone,100,34.5
51,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.5,3.5,3.5,3.5,40,20,Skeleton_Warrior,SkillGem,100,35
52,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.55,3.55,3.55,3.55,40,20,Skeleton_Shield,Diamond,1000,35.5
53,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.6,3.6,3.6,3.6,40,20,Skeleton_Knight,EnhanceStone,100,36
54,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.65,3.65,3.65,3.65,40,20,Skeleton_Archer,SkillGem,100,36.5
55,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.7,3.7,3.7,3.7,40,20,Skeleton_Warrior,Diamond,1000,37
56,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.75,3.75,3.75,3.75,40,20,Skeleton_Shield,EnhanceStone,100,37.5
57,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.8,3.8,3.8,3.8,40,20,Skeleton_Knight,SkillGem,100,38
58,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.85,3.85,3.85,3.85,40,20,Skeleton_Archer,Diamond,1000,38.5
59,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.9,3.9,3.9,3.9,40,20,Skeleton_Warrior,EnhanceStone,100,39
60,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,3.95,3.95,3.95,3.95,40,20,Skeleton_Shield,SkillGem,100,39.5
61,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4,4,4,4,40,20,Skeleton_Knight,Diamond,1000,40
62,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.05,4.05,4.05,4.05,40,20,Skeleton_Archer,EnhanceStone,100,40.5
63,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.1,4.1,4.1,4.1,40,20,Skeleton_Warrior,SkillGem,100,41
64,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.15,4.15,4.15,4.15,40,20,Skeleton_Shield,Diamond,1000,41.5
65,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.2,4.2,4.2,4.2,40,20,Skeleton_Knight,EnhanceStone,100,42
66,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.25,4.25,4.25,4.25,40,20,Skeleton_Archer,SkillGem,100,42.5
67,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.3,4.3,4.3,4.3,40,20,Skeleton_Warrior,Diamond,1000,43
68,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.35,4.35,4.35,4.35,40,20,Skeleton_Shield,EnhanceStone,100,43.5
69,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.4,4.4,4.4,4.4,40,20,Skeleton_Knight,SkillGem,100,44
70,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.45,4.45,4.45,4.45,40,20,Skeleton_Archer,Diamond,1000,44.5
71,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.5,4.5,4.5,4.5,40,20,Skeleton_Warrior,EnhanceStone,100,45
72,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.55,4.55,4.55,4.55,40,20,Skeleton_Shield,SkillGem,100,45.5
73,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.6,4.6,4.6,4.6,40,20,Skeleton_Knight,Diamond,1000,46
74,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.65,4.65,4.65,4.65,40,20,Skeleton_Archer,EnhanceStone,100,46.5
75,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.7,4.7,4.7,4.7,40,20,Skeleton_Warrior,SkillGem,100,47
76,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.75,4.75,4.75,4.75,40,20,Skeleton_Shield,Diamond,1000,47.5
77,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.8,4.8,4.8,4.8,40,20,Skeleton_Knight,EnhanceStone,100,48
78,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.85,4.85,4.85,4.85,40,20,Skeleton_Archer,SkillGem,100,48.5
79,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.9,4.9,4.9,4.9,40,20,Skeleton_Warrior,Diamond,1000,49
80,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,4.95,4.95,4.95,4.95,40,20,Skeleton_Shield,EnhanceStone,100,49.5
81,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5,5,5,5,40,20,Skeleton_Knight,SkillGem,100,50
82,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.05,5.05,5.05,5.05,40,20,Skeleton_Archer,Diamond,1000,50.5
83,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.1,5.1,5.1,5.1,40,20,Skeleton_Warrior,EnhanceStone,100,51
84,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.15,5.15,5.15,5.15,40,20,Skeleton_Shield,SkillGem,100,51.5
85,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.2,5.2,5.2,5.2,40,20,Skeleton_Knight,Diamond,1000,52
86,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.25,5.25,5.25,5.25,40,20,Skeleton_Archer,EnhanceStone,100,52.5
87,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.3,5.3,5.3,5.3,40,20,Skeleton_Warrior,SkillGem,100,53
88,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.35,5.35,5.35,5.35,40,20,Skeleton_Shield,Diamond,1000,53.5
89,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.4,5.4,5.4,5.4,40,20,Skeleton_Knight,EnhanceStone,100,54
90,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.45,5.45,5.45,5.45,40,20,Skeleton_Archer,SkillGem,100,54.5
91,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.5,5.5,5.5,5.5,40,20,Skeleton_Warrior,Diamond,1000,55
92,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.55,5.55,5.55,5.55,40,20,Skeleton_Shield,EnhanceStone,100,55.5
93,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.6,5.6,5.6,5.6,40,20,Skeleton_Knight,SkillGem,100,56
94,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.65,5.65,5.65,5.65,40,20,Skeleton_Archer,Diamond,1000,56.5
95,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.7,5.7,5.7,5.7,40,20,Skeleton_Warrior,EnhanceStone,100,57
96,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.75,5.75,5.75,5.75,40,20,Skeleton_Shield,SkillGem,100,57.5
97,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.8,5.8,5.8,5.8,40,20,Skeleton_Knight,Diamond,1000,58
98,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.85,5.85,5.85,5.85,40,20,Skeleton_Archer,EnhanceStone,100,58.5
99,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.9,5.9,5.9,5.9,40,20,Skeleton_Warrior,SkillGem,100,59
100,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,5.95,5.95,5.95,5.95,40,20,Skeleton_Shield,Diamond,1000,59.5
101,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6,6,6,6,40,20,Skeleton_Knight,EnhanceStone,100,60
102,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.05,6.05,6.05,6.05,40,20,Skeleton_Archer,SkillGem,100,60.5
103,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.1,6.1,6.1,6.1,40,20,Skeleton_Warrior,Diamond,1000,61
104,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.15,6.15,6.15,6.15,40,20,Skeleton_Shield,EnhanceStone,100,61.5
105,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.2,6.2,6.2,6.2,40,20,Skeleton_Knight,SkillGem,100,62
106,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.25,6.25,6.25,6.25,40,20,Skeleton_Archer,Diamond,1000,62.5
107,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.3,6.3,6.3,6.3,40,20,Skeleton_Warrior,EnhanceStone,100,63
108,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.35,6.35,6.35,6.35,40,20,Skeleton_Shield,SkillGem,100,63.5
109,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.4,6.4,6.4,6.4,40,20,Skeleton_Knight,Diamond,1000,64
110,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.45,6.45,6.45,6.45,40,20,Skeleton_Archer,EnhanceStone,100,64.5
111,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.5,6.5,6.5,6.5,40,20,Skeleton_Warrior,SkillGem,100,65
112,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.55,6.55,6.55,6.55,40,20,Skeleton_Shield,Diamond,1000,65.5
113,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.6,6.6,6.6,6.6,40,20,Skeleton_Knight,EnhanceStone,100,66
114,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.65,6.65,6.65,6.65,40,20,Skeleton_Archer,SkillGem,100,66.5
115,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.7,6.7,6.7,6.7,40,20,Skeleton_Warrior,Diamond,1000,67
116,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.75,6.75,6.75,6.75,40,20,Skeleton_Shield,EnhanceStone,100,67.5
117,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.8,6.8,6.8,6.8,40,20,Skeleton_Knight,SkillGem,100,68
118,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.85,6.85,6.85,6.85,40,20,Skeleton_Archer,Diamond,1000,68.5
119,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.9,6.9,6.9,6.9,40,20,Skeleton_Warrior,EnhanceStone,100,69
120,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,6.95,6.95,6.95,6.95,40,20,Skeleton_Shield,SkillGem,100,69.5
121,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7,7,7,7,40,20,Skeleton_Knight,Diamond,1000,70
122,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.05,7.05,7.05,7.05,40,20,Skeleton_Archer,EnhanceStone,100,70.5
123,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.1,7.1,7.1,7.1,40,20,Skeleton_Warrior,SkillGem,100,71
124,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.15,7.15,7.15,7.15,40,20,Skeleton_Shield,Diamond,1000,71.5
125,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.2,7.2,7.2,7.2,40,20,Skeleton_Knight,EnhanceStone,100,72
126,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.25,7.25,7.25,7.25,40,20,Skeleton_Archer,SkillGem,100,72.5
127,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.3,7.3,7.3,7.3,40,20,Skeleton_Warrior,Diamond,1000,73
128,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.35,7.35,7.35,7.35,40,20,Skeleton_Shield,EnhanceStone,100,73.5
129,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.4,7.4,7.4,7.4,40,20,Skeleton_Knight,SkillGem,100,74
130,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.45,7.45,7.45,7.45,40,20,Skeleton_Archer,Diamond,1000,74.5
131,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.5,7.5,7.5,7.5,40,20,Skeleton_Warrior,EnhanceStone,100,75
132,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.55,7.55,7.55,7.55,40,20,Skeleton_Shield,SkillGem,100,75.5
133,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.6,7.6,7.6,7.6,40,20,Skeleton_Knight,Diamond,1000,76
134,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.65,7.65,7.65,7.65,40,20,Skeleton_Archer,EnhanceStone,100,76.5
135,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.7,7.7,7.7,7.7,40,20,Skeleton_Warrior,SkillGem,100,77
136,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.75,7.75,7.75,7.75,40,20,Skeleton_Shield,Diamond,1000,77.5
137,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.8,7.8,7.8,7.8,40,20,Skeleton_Knight,EnhanceStone,100,78
138,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.85,7.85,7.85,7.85,40,20,Skeleton_Archer,SkillGem,100,78.5
139,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.9,7.9,7.9,7.9,40,20,Skeleton_Warrior,Diamond,1000,79
140,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,7.95,7.95,7.95,7.95,40,20,Skeleton_Shield,EnhanceStone,100,79.5
141,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,8,8,8,8,40,20,Skeleton_Knight,SkillGem,100,80
142,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,8.05,8.05,8.05,8.05,40,20,Skeleton_Archer,Diamond,1000,80.5
143,Cave,BGM_Cave,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,8.1,8.1,8.1,8.1,40,20,Skeleton_Warrior,EnhanceStone,100,81
